City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
307864,kilis,36.7161,37.115,41.23,90.0,100.0,5.19,TR,1644447634,2022-02-09 23:00:34
3393065,parambu,-6.2111,-40.6944,75.11,69.0,19.0,4.9,BR,1644447635,2022-02-09 23:00:35
240210,birao,10.2849,22.7882,69.53,15.0,32.0,5.08,CF,1644447635,2022-02-09 23:00:35
710033,dmytrivka,45.9717,28.9864,35.35,84.0,5.0,7.14,UA,1644447635,2022-02-09 23:00:35
3374333,praia,14.9215,-23.5087,75.74,57.0,0.0,12.66,CV,1644447594,2022-02-09 22:59:54
3171886,ortona,42.3496,14.4039,46.18,54.0,2.0,3.27,IT,1644447636,2022-02-09 23:00:36
2026708,bichura,50.5881,107.6022,-1.68,97.0,100.0,2.68,RU,1644447637,2022-02-09 23:00:37
5697939,north platte,41.1239,-100.7654,53.11,28.0,78.0,5.01,US,1644447485,2022-02-09 22:58:05
3437197,repatriacion,-25.5333,-55.95,73.53,50.0,22.0,3.89,PY,1644447638,2022-02-09 23:00:38
4845585,westport,41.1415,-73.3579,40.19,75.0,9.0,5.01,US,1644447461,2022-02-09 22:57:41
2426370,oum hadjer,13.2954,19.6966,67.93,10.0,0.0,10.6,TD,1644447638,2022-02-09 23:00:38
292968,abu dhabi,24.4667,54.3667,65.97,80.0,0.0,0.0,AE,1644447436,2022-02-09 22:57:16
